物体          类别      图数      均值距离      最小距离    近重复对
E074        柔性      15    0.3062    0.1356       0
E075        柔性      15    0.2734    0.1197       0
E077        柔性      15    0.2200    0.1216       0
E080        柔性      15    0.2297    0.1226       0
E086        柔性      15    0.2462    0.1056       0
E087        柔性      15    0.2759    0.1363       0
E122        柔性      15    0.2665    0.0556       0
FRA016      柔性      15    0.2306    0.0545       0
FRA039      柔性      15    0.2812    0.1227       0
FRA040      柔性      15    0.2438    0.0708       0
YCB11       柔性      15    0.2028    0.0468       0
YCB12       柔性      15    0.3028    0.0459       0
YCB13       柔性      13    0.1790    0.0522       0
YCB14       柔性      14    0.2115    0.0607       0
YCB15       柔性      15    0.2646    0.0844       0
YCB16       柔性      12    0.2451    0.0505       0
YCB17       柔性      13    0.2295    0.0636       0

近重复/低多样性文件夹数: 0
